ts,open,high,low,close,volume,vol_achat,vol_vente,n_trades,n_achat,gros_achat,gros_vente,moyen_achat,moyen_vente,trade_max
1769904000,78706.7,78902.3,78600.2,78892.9,584.698,355.16,229.538,12374,6850,139.327,84.328,142.588,94.722,2057422.5
1769904300,78892.9,79124.9,78860.0,79124.9,609.012,377.995,231.017,11037,6292,149.404,73.336,150.432,108.489,1237140.0
1769904600,79125.0,79356.7,79066.6,79305.8,1511.733,884.529,627.204,20346,10835,400.007,289.022,344.797,239.668,1974094.2
1769904900,79305.9,79396.8,79145.1,79268.0,823.014,433.02,389.994,17569,8633,205.655,154.735,133.722,152.651,1096820.0
1769905200,79268.0,79275.2,78933.4,78949.4,663.776,288.84,374.936,11084,4732,116.045,174.175,112.979,135.255,1395200.37
1769905500,78949.4,79116.8,78930.3,79056.9,526.949,312.864,214.085,9637,5262,93.983,87.407,159.552,83.732,561706.176
1769905800,79056.9,79190.0,78935.0,78967.3,634.456,351.703,282.753,12303,6041,176.224,107.404,114.017,116.765,6110966.0
1769906100,78967.4,79025.2,78734.2,78744.2,545.46,210.032,335.428,11366,4946,74.803,113.63,93.068,150.665,945014.04
1769906400,78744.3,78851.6,78711.3,78721.0,459.699,245.471,214.228,8920,4519,75.418,75.233,121.858,93.266,801772.7025
1769906700,78721.1,78951.8,78707.0,78919.9,362.42,210.962,151.458,8884,5196,58.283,60.113,102.16,57.182,591482.559
1769907000,78919.9,79077.7,78896.3,78971.6,387.415,238.271,149.144,8965,4723,73.464,41.685,108.804,66.313,749147.52
1769907300,78971.5,79000.0,78836.6,78861.2,263.066,117.021,146.045,6616,2980,19.395,32.598,66.946,77.322,525114.7561
1769907600,78861.3,78906.3,78650.5,78733.7,386.817,170.638,216.179,9173,4133,67.182,68.392,64.442,95.216,816314.0616
1769907900,78733.7,78756.4,78555.6,78605.4,559.798,245.46,314.338,11424,5246,87.976,115.366,88.994,133.859,1004309.76
1769908200,78605.4,78683.5,78431.3,78666.8,684.984,296.426,388.558,10211,5187,91.512,195.156,137.919,132.446,787739.4375
1769908500,78666.9,78666.9,78352.2,78375.0,772.434,324.524,447.91,11445,4623,125.175,186.314,144.128,187.667,786244.5159
1769908800,78375.0,78587.1,78356.5,78586.5,490.371,329.761,160.61,8033,4865,109.547,49.604,155.26,76.219,1200772.575
1769909100,78586.4,78847.1,78546.7,78800.5,532.582,394.231,138.351,7835,4742,152.155,34.057,183.061,72.395,1572993.15
1769909400,78800.4,78837.9,78553.5,78648.2,414.387,175.44,238.947,10090,4463,50.622,87.146,80.25,91.576,737814.2358
1769909700,78648.2,78683.4,78461.6,78463.2,322.454,137.596,184.858,7704,3189,46.789,55.02,57.588,73.196,500541.3918
1769910000,78463.3,78500.0,78245.7,78310.9,652.61,273.015,379.595,10560,4616,121.071,142.796,106.186,161.908,1218813.72
1769910300,78311.0,78450.9,78246.1,78446.2,375.243,201.886,173.357,8223,4547,62.151,60.78,93.677,70.314,890903.0677
1769910600,78446.2,78494.1,78401.5,78450.0,199.488,97.934,101.554,5218,2669,19.992,35.388,47.731,40.568,485157.6808
1769910900,78450.0,78521.6,78450.0,78504.8,169.897,105.816,64.081,3792,2074,35.51,8.728,44.449,32.49,468054.462
1769911200,78504.8,78592.1,78339.6,78359.1,518.548,195.244,323.304,7235,3097,65.006,197.389,93.321,79.837,6813443.28
1769911500,78359.2,78552.9,78353.6,78552.8,235.915,138.647,97.268,5851,3548,37.537,34.109,64.306,40.54,663027.9543
1769911800,78552.8,78825.6,78552.8,78788.4,517.411,281.907,235.504,9633,5432,94.627,124.818,126.562,71.482,2516368.26
1769912100,78788.3,78871.8,78744.0,78755.2,363.759,167.327,196.432,8953,4352,37.403,63.988,81.764,89.09,651380.6761
1769912400,78755.1,78764.5,78474.4,78539.0,313.103,148.913,164.19,8091,3465,38.305,42.995,75.522,75.273,710498.724
1769912700,78539.0,78596.0,78500.0,78596.0,157.018,91.057,65.961,4312,2306,29.251,18.538,36.216,27.162,781244.2301
1769913000,78596.1,78703.2,78567.5,78676.5,213.26,123.441,89.819,5816,3207,34.389,16.023,55.706,49.358,528236.1465
1769913300,78676.6,78777.2,78655.5,78739.1,213.19,107.716,105.474,7019,3577,26.755,35.455,45.124,36.968,568634.2533
1769913600,78739.1,78768.0,78668.8,78718.5,178.533,95.862,82.671,4669,2304,33.056,25.036,37.897,35.066,491545.2096
1769913900,78718.6,78836.0,78686.3,78825.8,260.038,162.91,97.128,6040,3446,59.332,34.515,65.591,33.821,415937.3616
1769914200,78825.8,78998.9,78761.3,78998.9,460.555,265.04,195.515,8308,4712,93.774,85.985,115.821,69.601,2300338.23
1769914500,78998.9,79024.0,78852.5,78856.4,333.681,126.198,207.483,7403,3212,25.044,61.469,62.625,103.656,595500.2382
1769914800,78856.4,78971.5,78755.1,78755.2,257.617,125.88,131.737,6808,2981,43.405,33.531,54.732,62.004,600758.15
1769915100,78755.1,78882.4,78703.4,78854.9,378.694,242.304,136.39,6487,3618,127.823,60.723,79.576,45.429,3814244.34
1769915400,78854.9,78900.0,78779.8,78831.8,177.457,81.321,96.136,4754,2292,23.929,33.085,33.545,37.709,452879.936
1769915700,78831.9,78859.4,78659.9,78660.6,304.251,113.67,190.581,6126,2346,51.54,77.827,39.348,63.123,793911.4768
1769916000,78660.6,78763.3,78630.3,78708.7,287.91,98.392,189.518,5114,2504,35.282,57.638,37.317,94.702,418130.2501
1769916300,78708.7,78756.0,78670.6,78705.7,131.826,69.737,62.089,4102,2057,9.099,8.438,36.224,29.094,356005.755
1769916600,78705.7,78759.9,78642.2,78698.1,164.693,82.483,82.21,4916,2337,25.487,22.886,32.588,31.925,409738.3312
1769916900,78698.1,78743.3,78665.4,78738.3,129.791,72.957,56.834,3745,1971,23.202,15.831,29.869,22.881,351084.1265
1769917200,78738.3,78833.9,78661.3,78691.7,189.924,108.798,81.126,4384,2119,38.849,23.349,43.398,36.901,496552.8612
1769917500,78692.1,78833.9,78692.1,78833.8,124.601,71.369,53.232,3611,2336,17.559,13.697,29.675,26.83,393745.0
1769917800,78833.8,78880.0,78777.9,78826.4,252.645,136.645,116.0,4786,2327,52.061,31.477,54.837,57.421,591975.7455
1769918100,78826.4,78859.2,78774.0,78826.3,148.793,59.489,89.304,3246,1604,14.345,20.538,28.391,50.322,337885.0956
1769918400,78826.3,78831.9,78731.9,78731.9,117.958,50.921,67.037,3191,1282,15.063,20.113,21.313,29.301,281436.9378
1769918700,78732.0,78775.0,78680.4,78775.0,235.76,129.907,105.853,4505,2355,56.989,35.662,45.578,49.504,598105.9678
1769919000,78775.0,78970.0,78774.9,78925.5,260.139,161.492,98.647,5383,3206,60.339,28.367,66.999,47.55,793576.2
1769919300,78925.5,79067.8,78900.0,79059.5,498.183,352.564,145.619,7202,4196,149.658,52.262,150.024,62.342,4953932.0
1769919600,79059.6,79094.9,78933.4,78957.6,285.91,140.796,145.114,5696,2483,49.736,42.523,62.144,62.693,589025.4472
1769919900,78957.6,78957.7,78857.6,78892.3,172.749,67.55,105.199,3206,1340,18.806,35.117,34.951,47.791,552678.5264
1769920200,78892.4,78976.4,78874.3,78915.9,213.447,98.058,115.389,4714,2435,30.02,43.492,41.062,46.186,1520517.096
1769920500,78915.9,78979.3,78873.6,78944.7,137.989,80.363,57.626,3529,1864,16.997,9.483,44.195,31.651,265443.4844
1769920800,78944.7,78980.0,78925.0,78968.0,110.736,56.607,54.129,2480,1336,21.556,21.018,20.314,22.056,499832.6583
1769921100,78968.0,79019.1,78940.6,78968.2,313.197,120.496,192.701,3959,1906,43.332,118.788,55.945,50.579,7239863.355
1769921400,78968.2,79000.0,78936.1,78994.3,104.306,53.819,50.487,2944,1583,11.367,14.492,26.547,23.386,460263.076
1769921700,78994.4,79001.6,78932.3,78938.1,111.969,50.912,61.057,1751,719,20.21,16.456,20.019,31.535,310130.1336
1769922000,78938.3,78970.1,78740.0,78767.8,336.802,120.495,216.307,6133,2396,39.471,95.157,54.383,78.921,1269168.8744
1769922300,78767.7,78840.0,78701.2,78720.0,278.484,128.299,150.185,4728,2149,54.838,56.347,48.035,63.141,1221242.3094
